city,country,state,suburb,lat,long,date,name,city_ascii,iso2,iso3,capital,population,worldcities_id,data_source,PRCP,SNWD,TMAX,TMIN
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-05-05,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.4,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-05-06,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.76,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-05-07,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.5,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-05-08,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.3,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-05-09,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.76,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-05-10,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,2.2,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-05-11,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.24,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-05-12,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.48,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-05-13,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.0,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-05-14,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.6,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-05-15,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,1.06,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-05-16,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.7,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-05-17,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.62,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-05-18,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.32,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-05-19,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,2.88,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-05-20,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.7,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-05-21,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.4,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-05-22,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.24,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-05-23,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.5,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-05-24,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,2.36,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-05-25,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.36,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-05-26,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.42,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-05-27,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,2.04,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-05-28,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.8,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-05-29,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.08,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-05-30,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,2.1,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-05-31,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.28,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-06-01,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.04,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-06-02,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,1.68,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-06-03,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.06,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-06-04,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,2.38,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-06-05,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,2.46,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-06-06,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,4.54,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-06-07,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,3.76,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-06-08,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,5.18,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-06-09,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,2.34,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-06-10,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.68,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-06-11,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,8.16,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-06-12,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,3.74,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-06-13,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,1.2,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-06-14,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,1.18,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-06-15,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.54,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-06-16,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.88,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-06-17,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,3.52,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-06-18,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,1.06,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-06-19,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,1.24,0.0,,
