lat,long,city,country,state,suburb,city_ascii,iso2,iso3,capital,population,worldcities_id,data_source
-19.1625,128.1633,Pacific Ocean,Remote Area,"Coordinates: -19.16°, 128.16°",,Pacific Ocean,,,,,,geographic_region
-17.2964,126.915,Pacific Ocean,Remote Area,"Coordinates: -17.30°, 126.92°",,Pacific Ocean,,,,,,geographic_region
-17.0156,128.2175,Warmun,Australia,Western Australia,Shire of Halls Creek,,AU,,,,,nominatim
-17.3922,126.2306,Pacific Ocean,Remote Area,"Coordinates: -17.39°, 126.23°",,Pacific Ocean,,,,,,geographic_region
-18.3368,126.1243,Pacific Ocean,Remote Area,"Coordinates: -18.34°, 126.12°",,Pacific Ocean,,,,,,geographic_region
-16.1119,128.7414,Lake Argyle,Australia,Western Australia,Shire Of Wyndham-East Kimberley,,AU,,,,,nominatim
-17.2631,127.4617,Pacific Ocean,Remote Area,"Coordinates: -17.26°, 127.46°",,Pacific Ocean,,,,,,geographic_region
-18.2972,128.4419,Pacific Ocean,Remote Area,"Coordinates: -18.30°, 128.44°",,Pacific Ocean,,,,,,geographic_region
-18.1947,127.8147,Halls Creek,Australia,Western Australia,,Halls Creek,AU,AUS,,1546.0,1036444511,worldcities_small
-17.7842,127.6853,Pacific Ocean,Remote Area,"Coordinates: -17.78°, 127.69°",,Pacific Ocean,,,,,,geographic_region
-17.6133,126.7442,Pacific Ocean,Remote Area,"Coordinates: -17.61°, 126.74°",,Pacific Ocean,,,,,,geographic_region
-15.7814,128.71,Kununurra,Australia,Western Australia,,Kununurra,AU,AUS,,5308.0,1036556231,worldcities_small
-16.0397,128.415,Pacific Ocean,Remote Area,"Coordinates: -16.04°, 128.41°",,Pacific Ocean,,,,,,geographic_region
-19.2353,127.7692,Pacific Ocean,Remote Area,"Coordinates: -19.24°, 127.77°",,Pacific Ocean,,,,,,geographic_region
-16.6381,128.4517,Argyle Village,Australia,Western Australia,Shire Of Wyndham-East Kimberley,,AU,,,,,nominatim
-15.9816,128.9991,Pacific Ocean,Remote Area,"Coordinates: -15.98°, 129.00°",,Pacific Ocean,,,,,,geographic_region
-16.4433,127.7836,Pacific Ocean,Remote Area,"Coordinates: -16.44°, 127.78°",,Pacific Ocean,,,,,,geographic_region
-17.2767,122.5711,Pacific Ocean,Remote Area,"Coordinates: -17.28°, 122.57°",,Pacific Ocean,,,,,,geographic_region
